engine,prompt_name,components,games,wins,draws,losses,score,elo_vs_baseline,elo_ci_low,elo_ci_high,input_tokens,output_tokens,total_tokens,elapsed_s,elo_per_1k_tokens,avg_plies,avg_game_seconds
arch1-strat1-plan1,arch1-strat1-plan1,(no tokens.csv found),20,14,3,3,0.775,214.8,64.7,543.3,0,0,0,0.0,,54.0,1.95
caveman,caveman,full-ablation-arch+strat+plan,20,3,6,11,0.3,-147.2,-383.3,0.6,10842,3216,14058,900.0,-10.47,63.5,7.13
noarch_nostrat_noplan,noarch_nostrat_noplan,(no tokens.csv found),20,4,3,13,0.275,-168.4,-425.9,-20.4,0,0,0,0.0,,102.3,21.63
noarch_nostrat_yesplan,noarch_nostrat_yesplan,"no-arch,no-strat,yes-plan",20,9,3,8,0.525,17.4,-142.1,185.2,20438,3105,23543,2580.0,0.74,102.2,23.03
noarch_yesstrat_noplan,noarch_yesstrat_noplan,(no tokens.csv found),20,11,3,6,0.625,88.7,-61.2,284.4,0,0,0,0.0,,73.5,14.13
yesarch-nostrat-yesplan,yesarch-nostrat-yesplan,arch+plan ablation — update from /cost before commit,20,3,3,14,0.225,-214.8,-543.3,-64.7,0,0,0,0.0,,66.9,11.86
yesarch_nostrat_noplan,yesarch_nostrat_noplan,arch_only,20,5,8,7,0.45,-34.9,-208.0,121.5,80000,2000,82000,900.0,-0.43,72.8,13.46
yesarch_yesstrat_yesplan_p1,yesarch_yesstrat_yesplan_p1,yesarch+yesstrat+yesplan,20,7,0,13,0.35,-107.5,-314.0,41.2,5000,39000,44000,1003.0,-2.44,72.0,8.24
yesarch_yessttrat_noplan,yesarch_yessttrat_noplan,yesarch-yesstrat-noplan,20,9,4,7,0.55,34.9,-121.5,208.0,10527,2134,12661,1200.0,2.75,101.4,28.5
